Zipcode,Latitude (generated),Longitude (generated),Average Price,Living Area Sq Ft
78759,30.4029,-97.761,289313803,1255987
78758,30.3877,-97.7067,132239365.000001,645153
78757,30.3513,-97.7321,271983220.999997,853337
78756,30.3219,-97.7396,96860442.9999999,259879
78754,30.3553,-97.6434,99929852.9999994,781633
78753,30.3811,-97.6737,123977848,728101
78752,30.3308,-97.7036,54574632,217704
78751,30.3106,-97.7238,97039426,278442
78750,30.4118,-97.815,185962737,883359
78749,30.2134,-97.8598,304366763.999999,1617196
78748,30.1642,-97.8241,367866022.000003,2186289
78747,30.1266,-97.7401,111860176,796856
78746,30.2972,-97.8109,275120298,717430
78745,30.2075,-97.7974,372812719.000005,1592194
78744,30.1831,-97.7292,126268152.999999,795611
78742,30.2421,-97.6598,839900,6236
78741,30.2306,-97.7149,82589875.0000002,353433
78739,30.169,-97.9027,329772552.999998,1818603
78738,30.3111,-97.9741,697000,2525
78737,30.1919,-97.9624,334743789.000001,1905320
78736,30.2486,-97.9513,66132325,349283
78735,30.2654,-97.8676,301050562.999998,1107989
78734,30.3808,-97.9468,12518250,23992
78733,30.3229,-97.8765,225969430.000001,784741
78732,30.3784,-97.8915,418565331.999999,2079727
78731,30.3471,-97.768,439216237.999998,1331649
78730,30.3635,-97.8347,248469081.999999,956280
78729,30.4571,-97.7564,107566033,658948
78728,30.453,-97.6873,67276448.9999999,407442
78727,30.4291,-97.7193,156630402,808201
78726,30.4283,-97.8423,90146721.0000001,530759
78725,30.2355,-97.6085,36169770.9999999,257520
78724,30.2958,-97.6134,62085453.9999999,367979
78723,30.3039,-97.6861,239977264.999998,932987
78722,30.2896,-97.7154,47278714.0000001,154404
78721,30.2713,-97.6836,91458401.0000001,344187
78719,30.1472,-97.6848,1582900,13931
78717,30.4896,-97.7644,222593841,1421316
78705,30.2942,-97.7393,44543549,115275
78704,30.2435,-97.7654,585725369.000006,1394646
78703,30.294,-97.766,352933033.999999,799271
78702,30.2632,-97.7142,200968712.000001,558576
78701,30.2712,-97.7424,6922800,17521
78660,30.4404,-97.5961,10279226,71777
78653,30.3411,-97.5198,1334780,9073
78652,30.1327,-97.8754,1501359,7187
78619,30.1116,-98.0328,9037790,43704
78617,30.1581,-97.6014,16807582,141604
