,zpid,streetAddress,latitude,longitude,latest_saledate,latest_salemonth,latest_saleyear,latestPrice
0,111373431,14424 Lake Victor Dr,30.43063163757324,-97.66307830810548,2019-09-02,9,2019,305000.0
1,120900430,1104 Strickling Dr,30.43267250061035,-97.66169738769533,2020-10-13,10,2020,295000.0
2,2084491383,1408 Fort Dessau Rd,30.409748077392567,-97.6397705078125,2019-07-31,7,2019,256125.0
3,120901374,1025 Strickling Dr,30.432111740112305,-97.66165924072266,2018-08-08,8,2018,240000.0
4,60134862,15005 Donna Jane Loop,30.437368392944336,-97.6568603515625,2018-10-31,10,2018,239900.0
5,2080105342,14908 Spring Hill Ln,30.437774658203125,-97.65618133544922,2020-08-05,8,2020,309045.0
6,241932337,14009 Cantata Ln,30.414684295654297,-97.64339447021484,2020-06-11,6,2020,315000.0
7,60134835,15009 Drusillas Dr,30.43940353393555,-97.65803527832033,2018-10-10,10,2018,219900.0
8,60134833,1104 Traci Michelle Dr,30.439096450805664,-97.657958984375,2019-09-19,9,2019,225000.0
9,83827468,6808 Plains Crest Dr,30.160701751708984,-97.63812255859376,2018-09-11,9,2018,194800.0
10,241932327,1100 Oblique Dr,30.414934158325195,-97.6432876586914,2020-08-28,8,2020,279900.0
11,241930967,12612 Stoney Ridge Bnd,30.159337997436523,-97.63335418701172,2019-04-12,4,2019,250000.0
12,69808966,12813 Buenos Aires Pkwy,30.167768478393555,-97.6234359741211,2020-09-05,9,2020,239900.0
13,64520966,11601 Arrowmound Pass,30.15428352355957,-97.65058135986328,2018-12-15,12,2018,200000.0
14,83813460,12221 Ferrystone Cv,30.15972137451172,-97.6362762451172,2020-08-18,8,2020,131679.0
15,29470450,11712 Maybach Dr,30.15768814086914,-97.64641571044922,2020-06-02,6,2020,200000.0
16,70341946,6004 Arnhem Cv,30.168758392333984,-97.61647033691406,2019-02-27,2,2019,212000.0
17,116080992,10505 Cannon Mark Way,30.486408233642567,-97.7947235107422,2018-08-28,8,2018,687850.0
18,88013985,15524 Staked Plains Loop,30.49437522888184,-97.79651641845705,2018-12-03,12,2018,409000.0
19,70344594,15217 Sabal Palm Rd,30.25570678710937,-97.57695770263672,2020-12-22,12,2020,199000.0
20,185217484,14004 Chisos Trl,30.49563789367676,-97.7978744506836,2020-01-10,1,2020,400000.0
21,121719682,14108 Laurinburg Dr,30.490257263183604,-97.79174041748048,2020-12-07,12,2020,699000.0
22,116080981,14405 Laurinburg Dr,30.4887752532959,-97.7948989868164,2018-03-13,3,2018,549900.0
23,83822421,6700 Evelyn Rd,30.08774757385254,-97.7052001953125,2019-03-29,3,2019,350000.0
24,29462564,14702 Menifee St,30.233154296875,-97.58731842041016,2020-12-31,12,2020,240000.0
25,70355992,15303 Lucian St,30.23806571960449,-97.57801818847656,2020-12-04,12,2020,249900.0
26,89659978,14224 Canyon Trl,30.492189407348643,-97.79308319091795,2020-04-22,4,2020,400000.0
27,70355990,15207 Lucian St,30.238237380981445,-97.57833099365234,2018-01-30,1,2018,200000.0
28,70333917,12525 Verandah Ct,30.426456451416016,-97.85929107666016,2020-11-09,11,2020,875000.0
29,29471292,9601 Cliffbrook Dr,30.10340118408203,-97.71691131591795,2020-10-27,10,2020,164995.0
30,241932966,5509 Bonneville Bnd,30.17614555358887,-97.6981430053711,2019-04-18,4,2019,287500.0
31,116080975,10912 Crosbyton Ln,30.488996505737305,-97.79379272460938,2020-03-25,3,2020,650000.0
32,145656987,4606 Belfield Ln,30.24176788330078,-97.5790557861328,2019-01-10,1,2019,196000.0
33,83821490,11223 Tom Sassman Rd,30.08502960205078,-97.69979095458984,2018-08-23,8,2018,239999.0
34,70333915,12512 Verandah Ct,30.42596435546875,-97.85840606689452,2019-09-17,9,2019,830000.0
35,29462467,14500 James Vincent Dr,30.231584548950195,-97.5912628173828,2019-06-07,6,2019,219990.0
36,89548387,11928 Aitne Ln,30.2150993347168,-97.63643646240234,2019-03-28,3,2019,195000.0
37,29366912,14423 Ridgetop Ter,30.41598701477051,-97.90055847167967,2018-08-15,8,2018,4250000.0
38,241932964,5524 Loma Alta Dr,30.175445556640625,-97.69815826416016,2018-03-26,3,2018,309999.0
39,29376494,10707 Beckwood Dr,30.44289970397949,-97.82464599609376,2020-03-04,3,2020,427000.0
40,69808963,2703 Crownover St,30.22610282897949,-97.59052276611328,2018-01-25,1,2018,205000.0
41,121656950,9704 Rodriguez Rd,30.11837577819824,-97.70490264892578,2018-11-30,11,2018,300000.0
42,185217474,11429 Running Brush Ln,30.494144439697266,-97.79753112792967,2019-09-05,9,2019,344600.0
43,29366911,14503 Ridgetop Ter,30.41670608520508,-97.90070343017578,2020-07-10,7,2020,3395000.0
44,145657963,7212 Garnet Mill Ln,30.16147994995117,-97.72125244140624,2020-06-26,6,2020,399900.0
45,29370494,10700 Mcfarlie Cv,30.42639350891113,-97.79273223876952,2020-11-30,11,2020,648000.0
46,89548844,2521 Elara Dr,30.213117599487305,-97.63728332519533,2018-02-01,2,2018,186500.0
47,125901465,804 Hatton Hill Ct,30.23823547363281,-97.58043670654295,2020-04-03,4,2020,219000.0
48,63228462,3100 Caleb Dr,30.22929382324219,-97.59007263183594,2018-03-22,3,2018,179900.0
49,96639474,13500 Hymeadow Cir,30.4632568359375,-97.78580474853516,2020-02-18,2,2020,405000.0
50,80094409,14007 Panorama Dr,30.41860008239746,-97.89057159423828,2019-10-17,10,2019,2950000.0
51,64431038,10207 Fm 1625,30.11583137512207,-97.71607208251952,2019-08-01,8,2019,565000.0
52,89547842,2312 Elara Dr,30.21501922607422,-97.63804626464844,2019-03-06,3,2019,194098.0
53,251030464,5708 Roderick Dr,30.25937271118164,-97.58674621582033,2019-04-05,4,2019,255700.0
54,29376491,10701 Beckwood Dr,30.442386627197266,-97.8249969482422,2019-06-07,6,2019,495000.0
55,241932962,5504 Loma Alta Dr,30.17613220214844,-97.6977310180664,2020-08-18,8,2020,325000.0
56,64729016,10044 Vallejo Plains Ln #4,30.10301971435547,-97.69129943847656,2020-08-13,8,2020,250000.0
57,70355962,15101 Nordyke Ln,30.23895072937012,-97.58032989501952,2020-04-13,4,2020,198500.0
58,29376490,10615 Beckwood Dr,30.442228317260746,-97.82511138916016,2020-10-30,10,2020,485000.0
59,29366907,14515 Ridgetop Ter,30.41809463500977,-97.90081787109376,2020-10-28,10,2020,5495000.0
60,250825472,12100 Wickline Way,30.49202919006348,-97.79917907714844,2020-05-15,5,2020,440000.0
61,89550834,2525 Elara Dr,30.21296501159668,-97.63726806640624,2019-02-01,2,2019,225000.0
62,64674953,4010 Louise Lee Dr,30.24004554748535,-97.5873565673828,2018-07-04,7,2018,207900.0
63,29374483,10714 Fountainbleu Cir,30.433971405029297,-97.8055191040039,2021-01-08,1,2021,575000.0
64,29461422,4015 Ayala Dr,30.237213134765625,-97.58354949951172,2019-09-24,9,2019,200000.0
65,116080970,10816 Crosbyton Ln,30.48861694335937,-97.79280853271484,2019-07-25,7,2019,675000.0
66,70333905,8201 Denali Pkwy APT 2,30.42463111877441,-97.8576889038086,2018-01-31,1,2018,975000.0
67,29557482,9512 Eddystone St,30.45297622680664,-97.78694915771484,2019-01-19,1,2019,259000.0
68,241932948,7912 Annalise Dr,30.17658805847168,-97.69738006591795,2020-02-10,2,2020,275000.0
69,29461406,14611 Highsmith St,30.23699188232422,-97.58533477783205,2019-08-23,8,2019,199999.0
70,2081704483,12011 Clayton Creek Ave,30.22005844116211,-97.63460540771484,2020-06-29,6,2020,268729.0
71,116080962,10701 Copper Basin Cv,30.4880485534668,-97.79401397705078,2019-07-22,7,2019,625000.0
72,29376480,11204 Tanya Trl,30.443117141723643,-97.8240737915039,2020-07-24,7,2020,435000.0
73,241932946,8016 Annalise Dr,30.17620658874512,-97.696533203125,2018-12-21,12,2018,285000.0
74,29351492,5602 Wolf Ct,30.352840423583984,-97.79354858398438,2019-01-31,1,2019,399900.0
75,241932900,809 Silver Wing Dr,30.23677062988281,-97.58175659179688,2019-08-16,8,2019,215000.0
76,29370900,12709 Cloud Mountain Xing,30.42306327819824,-97.86306762695312,2020-11-04,11,2020,519500.0
77,110538990,9621 Solana Vista Loop #B,30.39213752746582,-97.826904296875,2018-08-16,8,2018,450000.0
78,29372980,11100 Amesite Trl,30.43273162841797,-97.8270034790039,2018-10-02,10,2018,463700.0
79,29459947,14304 Rosseau St,30.24313545227051,-97.58552551269533,2020-03-03,3,2020,209900.0
80,241932936,5217 Bonneville Bnd,30.17849540710449,-97.69666290283205,2020-08-31,8,2020,375000.0
81,89550803,12008 Thyone Dr,30.21564483642578,-97.63555145263672,2020-06-29,6,2020,229900.0
82,29370898,12726 Cloud Mountain Xing,30.42333984375,-97.86441040039062,2018-08-24,8,2018,549900.0
83,29358990,7003 Jester Blvd,30.375999450683604,-97.7984848022461,2019-01-19,1,2019,690000.0
84,116080957,10704 Copper Basin Cv,30.48835182189941,-97.7944564819336,2019-03-18,3,2019,584900.0
85,111373282,1008 Bethel Way,30.43100929260254,-97.66204071044922,2018-06-30,6,2018,287500.0
86,29375979,11902 Arch Hill Dr,30.44328117370605,-97.79827880859376,2019-09-30,9,2019,599800.0
87,241932935,5229 Bonneville Bnd,30.178211212158203,-97.6968231201172,2018-09-12,9,2018,325000.0
88,80115957,14904 Mistletoe Heights Dr,30.500444412231445,-97.79090881347656,2020-08-26,8,2020,350000.0
89,29370894,12704 Cloud Mountain Xing,30.423627853393555,-97.86334991455078,2018-03-01,3,2018,574900.0
90,121658485,9413 Solana Vista Loop #B,30.393047332763672,-97.82636260986328,2019-04-22,4,2019,374000.0
91,29375978,11907 Arch Hill Dr,30.443683624267567,-97.79793548583984,2019-10-25,10,2019,699900.0
92,145654939,4617 Cleto St,30.24139213562012,-97.57658386230467,2019-09-20,9,2019,205000.0
93,29370884,8225 Phantom Canyon Dr,30.425716400146484,-97.8606414794922,2020-09-01,9,2020,425000.0
94,29351485,5706 Eagle Clfs,30.3537712097168,-97.79362487792967,2019-07-17,7,2019,425000.0
95,29372475,9008 Scotsman Dr,30.42850685119629,-97.79425048828124,2020-10-05,10,2020,684000.0
96,185218453,10512 Dunham Forest Rd,30.493675231933604,-97.7860107421875,2020-07-15,7,2020,359965.0
97,29392994,4602 Sherwyn Dr,30.28166007995605,-97.66173553466795,2018-06-25,6,2018,120000.0
98,111371253,1012 Bethel Way,30.431062698364247,-97.66221618652344,2018-10-12,10,2018,225000.0
99,2088245915,7716 Barbary Ct,30.16103935241699,-97.71595001220705,2018-10-31,10,2018,388990.0
100,29373974,8711 Crest Ridge Cir,30.435590744018555,-97.78577423095705,2018-10-03,10,2018,435000.0
101,29360984,7601 Almond Cv,30.38071632385254,-97.78955841064452,2020-07-10,7,2020,795000.0
102,241932874,15013 Roody Ln,30.236482620239247,-97.58241271972656,2019-05-10,5,2019,218800.0
103,145551433,Esper Ln,30.2393798828125,-97.57323455810548,2019-12-05,12,2019,200000.0
104,29376473,11104 Crossland Dr,30.44245338439941,-97.82276916503906,2018-03-27,3,2018,368500.0
105,305430992,6217 Seville Dr,30.29319190979004,-97.6419677734375,2020-10-19,10,2020,454500.0
106,251030246,1101 Cadence Dr,30.41343116760254,-97.6442642211914,2020-07-02,7,2020,285000.0
107,29347484,4202 Plantain Cv,30.35632514953613,-97.83723449707033,2019-06-21,6,2019,799000.0
108,69811366,14310 Cottingham Dr,30.23320579528809,-97.5913543701172,2020-02-11,2,2020,199000.0
109,116080950,14017 Genesee Trl,30.48777961730957,-97.7927703857422,2018-12-31,12,2018,622800.0
110,29370873,12619 Cloud Mountain Xing,30.423702239990234,-97.86214447021484,2020-01-22,1,2020,429000.0
111,83814991,9016 Elfen Cv,30.283544540405284,-97.62621307373048,2019-03-13,3,2019,259900.0
112,29375973,9010 Spring Lake Dr,30.438554763793945,-97.7947235107422,2020-10-22,10,2020,629000.0
113,116080945,14109 Genesee Trl,30.48757362365723,-97.7937240600586,2019-02-20,2,2019,525000.0
114,29370860,8108 Red Bird Ct,30.424427032470703,-97.86241912841795,2020-11-17,11,2020,345000.0
115,249890717,1804 Rinker Ranch Dr,30.21903991699219,-97.6354522705078,2020-03-30,3,2020,255000.0
116,2082177903,5501 Gooding Dr,30.17507362365723,-97.6934585571289,2020-02-27,2,2020,282226.0
117,63835425,15108 Stave Oak Ln,30.252227783203125,-97.5805206298828,2018-10-31,10,2018,180000.0
118,70341361,2907 Crownover St,30.227558135986328,-97.58959197998048,2019-08-13,8,2019,184900.0
119,29358983,7004 Juneberry Cv,30.37546539306641,-97.79732513427734,2020-09-11,9,2020,750000.0
120,29374973,11129 Rio Vista Dr,30.43508529663086,-97.82764434814452,2020-11-30,11,2020,475000.0
121,89550707,2420 Kale Dr,30.213565826416016,-97.63741302490234,2019-09-06,9,2019,219000.0
122,114405230,14504 Lake Victor Dr,30.431062698364247,-97.66323852539062,2019-02-12,2,2019,293300.0
123,29459909,14311 Kincheloe St,30.24378967285156,-97.5844955444336,2019-05-13,5,2019,229999.0
124,29375972,9012 Spring Lake Dr,30.43881416320801,-97.79473876953124,2018-03-27,3,2018,415000.0
125,29396983,6021 Signal Point,30.29134750366211,-97.64522552490234,2018-12-11,12,2018,175000.0
126,58299481,7609 Crossmeadow Dr,30.37837791442871,-97.78571319580078,2020-12-07,12,2020,398900.0
127,145656393,7100 Auburn Blaze Ln,30.161739349365234,-97.71949768066406,2019-07-01,7,2019,389900.0
128,116080940,14205 Genesee Trl,30.48785781860352,-97.7947006225586,2018-08-17,8,2018,536170.0
129,29370850,8121 Endeavor Cir,30.424415588378903,-97.86055755615234,2018-11-29,11,2018,665000.0
130,29459907,14307 Kincheloe St,30.24393081665039,-97.58484649658205,2018-03-09,3,2018,179900.0
131,29374967,11150 Rio Vista Dr,30.436147689819336,-97.82756805419922,2020-09-21,9,2020,519900.0
132,2082038175,1628 Caballo Blanco Rd,30.220149993896484,-97.63470458984376,2019-12-31,12,2019,341054.0
133,29358997,7002 Anaqua Dr,30.376209259033203,-97.7973175048828,2019-10-31,10,2019,428000.0
134,70341359,2903 Crownover St,30.22736740112305,-97.58971405029295,2018-12-07,12,2018,185000.0
135,185217435,11704 Running Brush Cv,30.49654769897461,-97.7974853515625,2018-08-09,8,2018,415000.0
136,120898222,1112 Strickling Dr,30.43280029296875,-97.6619644165039,2020-10-08,10,2020,299900.0
137,83823977,6001 Elfen Way,30.28300094604492,-97.6276397705078,2018-06-07,6,2018,249900.0
138,70352470,804 Lakewood Hills Ter,30.35407638549805,-97.91303253173828,2019-05-17,5,2019,725000.0
139,145551402,4525 Esper Ln,30.23840713500977,-97.57384490966795,2019-12-03,12,2019,198000.0
140,29355980,7903 Entrada Cv,30.37429428100586,-97.80758666992188,2018-01-25,1,2018,550000.0
141,29465172,11901 Garden Meadow Rd,30.22450065612793,-97.62870025634766,2018-06-15,6,2018,179900.0
142,58300466,11558 Spicewood Pkwy APT 10,30.444562911987305,-97.80654907226562,2020-09-10,9,2020,355000.0
143,29438720,13304 Bennington Ln,30.40708923339844,-97.64974975585938,2020-05-28,5,2020,310000.0
144,29459899,14201 Kincheloe St,30.24452972412109,-97.58594512939452,2018-02-06,2,2018,155000.0
145,64812856,3409 Etheredge Dr,30.232646942138672,-97.59120178222656,2019-06-28,6,2019,189000.0
146,70352465,904 Lakewood Hills Ter,30.355552673339844,-97.91254425048828,2020-08-06,8,2020,1025000.0
147,145655881,8004 Annalise Dr,30.1763916015625,-97.69696044921876,2020-07-09,7,2020,339900.0
148,2079153478,10711 Twisted Elm Dr,30.399572372436523,-97.84323120117188,2020-07-30,7,2020,515000.0
149,29366849,13815 Lake View Dr,30.415252685546875,-97.88896942138672,2020-06-18,6,2020,625000.0
150,185217434,11700 Running Brush Cv,30.49635887145996,-97.797607421875,2018-05-25,5,2018,339900.0
151,58265966,11108 Sandstone Trl,30.452693939208984,-97.81514739990234,2020-03-12,3,2020,650000.0
152,63835398,5512 Catsby Ct,30.25343894958496,-97.58031463623048,2018-04-20,4,2018,170000.0
153,70352461,1008 Lakewood Hills Ter,30.35622596740723,-97.91169738769533,2019-08-07,8,2019,759900.0
154,29396970,5600 Signal Point,30.288440704345703,-97.64766693115234,2018-05-23,5,2018,214500.0
155,29438718,13308 Bennington Ln,30.40733528137207,-97.64958953857422,2018-01-27,1,2018,275000.0
156,29370839,8232 Phantom Canyon Dr,30.426279067993164,-97.86062622070312,2019-05-16,5,2019,588000.0
157,2132333345,4515 Credo Ln,30.23693084716797,-97.5716781616211,2018-03-28,3,2018,174900.0
158,29376465,11015 Conchos Cv,30.44224166870117,-97.82142639160156,2020-03-17,3,2020,937000.0
159,29358978,7005 Juneberry Cv,30.37502479553223,-97.79694366455078,2019-06-18,6,2019,595000.0
160,121658390,4517 Senda Ln #181,30.23735237121582,-97.57234954833984,2018-07-25,7,2018,169900.0
161,89028960,12104 Montclair Bnd,30.341896057128903,-97.90794372558594,2019-07-23,7,2019,625000.0
162,80093467,8917 Sun Shower Bnd,30.27799987792969,-97.63249969482422,2019-03-04,3,2019,235000.0
163,250180857,7313 Coit Rd,30.15862846374512,-97.71546173095705,2019-11-22,11,2019,359900.0
164,29372965,10300 Echoridge Dr,30.431196212768555,-97.81404876708984,2019-02-22,2,2019,350000.0
165,185217429,11616 Running Brush Ln,30.49615478515625,-97.79851531982422,2019-09-16,9,2019,449000.0
166,89551997,100 Dawn River Cv,30.351436614990234,-97.9140396118164,2018-05-05,5,2018,1799000.0
