,zpid,latestPrice,numOfBathrooms,livingAreaSqFt,numOfBedrooms,avgSchoolRating,numOfStories,MedianStudentsPerTeacher,numOfHighSchools,longitude,numOfPrimarySchools,avgSchoolDistance,latitude,lotSizeSqFt,numOfPhotos,numPriceChanges,zipcode,propertyTaxRate,latest_saledate,latest_salemonth,latest_saleyear
3,120901374,240000.0,2.0,1678.0,3,2.6666666666666665,1,14,1,-97.66165924072266,1,1.4,30.432111740112305,6098.0,9,4,78660,1.98,2018-08-08,8,2018
4,60134862,239900.0,3.0,2132.0,3,4.0,2,14,1,-97.6568603515625,1,1.1333333333333335,30.437368392944336,6708.0,27,3,78660,1.98,2018-10-31,10,2018
7,60134835,219900.0,3.0,1422.0,3,4.0,2,14,1,-97.65803527832033,1,1.1666666666666667,30.43940353393555,5140.0,21,2,78660,1.98,2018-10-10,10,2018
9,83827468,194800.0,3.0,1422.0,3,3.0,2,14,1,-97.63812255859376,1,1.2,30.160701751708984,5183.0,23,1,78617,1.98,2018-09-11,9,2018
13,64520966,200000.0,2.0,1326.0,3,3.0,1,14,1,-97.65058135986328,1,1.8333333333333333,30.15428352355957,6926.0,16,1,78617,1.98,2018-12-15,12,2018
17,116080992,687850.0,6.0,4564.0,5,7.666666666666668,2,14,1,-97.7947235107422,1,3.266666666666667,30.486408233642567,10672.0,40,13,78717,2.21,2018-08-28,8,2018
18,88013985,409000.0,4.0,3233.0,5,8.333333333333334,2,16,1,-97.79651641845705,1,1.933333333333333,30.49437522888184,9060.0,31,4,78717,2.21,2018-12-03,12,2018
22,116080981,549900.0,5.0,3494.0,4,7.666666666666668,2,14,1,-97.7948989868164,1,3.2999999999999994,30.4887752532959,8494.0,69,2,78717,2.21,2018-03-13,3,2018
27,70355990,200000.0,2.0,1652.0,3,3.0,1,13,1,-97.57833099365234,1,1.9666666666666668,30.238237380981445,8145.0,33,1,78725,1.98,2018-01-30,1,2018
33,83821490,239999.0,2.0,1264.0,3,3.333333333333333,1,14,1,-97.69979095458984,1,5.366666666666667,30.08502960205078,411206.4,35,5,78747,1.98,2018-08-23,8,2018
37,29366912,4250000.0,7.0,7284.0,7,7.0,2,16,1,-97.90055847167967,1,4.1000000000000005,30.41598701477051,106286.4,40,7,78732,1.98,2018-08-15,8,2018
38,241932964,309999.0,3.0,1907.0,3,3.6666666666666665,2,12,1,-97.69815826416016,1,2.9,30.175445556640625,7100.0,31,1,78744,1.98,2018-03-26,3,2018
40,69808963,205000.0,3.0,2088.0,4,3.0,1,13,1,-97.59052276611328,1,1.9,30.22610282897949,4399.0,24,2,78725,1.98,2018-01-25,1,2018
41,121656950,300000.0,3.0,2100.0,4,3.6666666666666665,1,12,1,-97.70490264892578,1,4.9,30.11837577819824,43560.0,31,4,78747,1.98,2018-11-30,11,2018
46,89548844,186500.0,2.0,1420.0,3,3.0,1,13,1,-97.63728332519533,1,3.3000000000000003,30.213117599487305,7797.0,6,1,78725,1.98,2018-02-01,2,2018
48,63228462,179900.0,2.0,1194.0,3,3.0,1,13,1,-97.59007263183594,1,1.8333333333333333,30.22929382324219,5924.0,25,1,78725,1.98,2018-03-22,3,2018
62,64674953,207900.0,2.0,1929.0,3,3.0,1,13,1,-97.5873565673828,1,1.633333333333333,30.24004554748535,5314.0,26,4,78725,1.98,2018-07-04,7,2018
66,70333905,975000.0,4.0,3450.0,4,7.0,1,16,1,-97.8576889038086,1,1.9,30.42463111877441,58806.00000000001,36,1,78726,1.98,2018-01-31,1,2018
73,241932946,285000.0,3.0,1973.0,3,3.6666666666666665,2,12,1,-97.696533203125,1,2.9,30.17620658874512,5662.0,1,2,78744,1.98,2018-12-21,12,2018
77,110538990,450000.0,3.0,2283.0,4,7.0,2,16,1,-97.826904296875,1,0.6000000000000001,30.39213752746582,6368.0,14,1,78750,1.98,2018-08-16,8,2018
78,29372980,463700.0,3.0,3115.0,4,8.0,2,15,1,-97.8270034790039,1,1.5333333333333332,30.43273162841797,9539.0,37,1,78726,1.98,2018-10-02,10,2018
82,29370898,549900.0,4.0,3794.0,4,7.0,2,16,1,-97.86441040039062,1,2.1333333333333333,30.42333984375,10105.0,38,1,78726,1.98,2018-08-24,8,2018
85,111373282,287500.0,3.0,2314.0,5,2.6666666666666665,1,14,1,-97.66204071044922,1,1.3333333333333333,30.43100929260254,7623.0,47,3,78660,1.98,2018-06-30,6,2018
87,241932935,325000.0,3.0,2068.0,4,3.6666666666666665,2,12,1,-97.6968231201172,1,2.9,30.178211212158203,6185.0,22,1,78744,1.98,2018-09-12,9,2018
89,29370894,574900.0,4.0,3338.0,4,7.0,2,16,1,-97.86334991455078,1,2.1333333333333333,30.423627853393555,11325.6,1,1,78726,1.98,2018-03-01,3,2018
97,29392994,120000.0,2.0,1745.0,4,3.6666666666666665,1,14,1,-97.66173553466795,1,2.4666666666666663,30.28166007995605,9452.0,23,7,78725,1.98,2018-06-25,6,2018
98,111371253,225000.0,2.0,1375.0,3,2.6666666666666665,1,14,1,-97.66221618652344,1,1.3333333333333333,30.431062698364247,8276.0,34,5,78660,1.98,2018-10-12,10,2018
99,2088245915,388990.0,3.0,2502.0,4,3.6666666666666665,1,12,1,-97.71595001220705,1,3.1,30.16103935241699,6969.0,5,3,78744,1.98,2018-10-31,10,2018
100,29373974,435000.0,2.0,2313.0,4,8.666666666666666,1,16,1,-97.78577423095705,0,1.1,30.435590744018555,16988.4,19,2,78750,1.98,2018-10-03,10,2018
104,29376473,368500.0,2.0,2267.0,4,8.0,1,15,1,-97.82276916503906,1,1.2,30.44245338439941,7230.0,19,2,78726,1.98,2018-03-27,3,2018
109,116080950,622800.0,3.0,2903.0,3,7.666666666666668,1,14,1,-97.7927703857422,1,3.266666666666667,30.48777961730957,7187.0,36,1,78717,2.21,2018-12-31,12,2018
117,63835425,180000.0,2.0,1326.0,3,2.6666666666666665,1,13,1,-97.5805206298828,1,2.1666666666666665,30.252227783203125,6229.0,24,3,78724,1.98,2018-10-31,10,2018
124,29375972,415000.0,3.0,2234.0,3,8.666666666666666,1,16,1,-97.79473876953124,0,0.9,30.43881416320801,13503.6,40,1,78750,1.98,2018-03-27,3,2018
125,29396983,175000.0,2.0,1315.0,3,3.6666666666666665,1,11,2,-97.64522552490234,1,3.1,30.29134750366211,4835.0,17,2,78724,1.98,2018-12-11,12,2018
128,116080940,536170.0,4.0,3415.0,5,7.666666666666668,2,14,1,-97.7947006225586,1,3.2999999999999994,30.48785781860352,7230.0,1,9,78717,2.21,2018-08-17,8,2018
129,29370850,665000.0,4.0,4137.0,5,7.0,2,16,1,-97.86055755615234,1,2.033333333333333,30.424415588378903,18295.2,87,1,78726,1.98,2018-11-29,11,2018
130,29459907,179900.0,2.0,1587.0,4,3.0,1,13,1,-97.58484649658205,1,1.7000000000000002,30.24393081665039,5880.0,24,1,78725,1.98,2018-03-09,3,2018
134,70341359,185000.0,2.0,1203.0,3,3.0,1,13,1,-97.58971405029295,1,1.8666666666666665,30.22736740112305,4312.0,26,2,78725,1.98,2018-12-07,12,2018
135,185217435,415000.0,4.0,3257.0,5,8.333333333333334,2,16,1,-97.7974853515625,1,1.8666666666666665,30.49654769897461,10236.0,40,2,78717,2.21,2018-08-09,8,2018
137,83823977,249900.0,3.0,1659.0,3,3.6666666666666665,2,11,2,-97.6276397705078,1,2.766666666666667,30.28300094604492,6098.0,35,2,78724,1.98,2018-06-07,6,2018
140,29355980,550000.0,2.0,2100.0,3,7.0,1,16,1,-97.80758666992188,1,4.833333333333333,30.37429428100586,55321.2,1,7,78730,1.98,2018-01-25,1,2018
141,29465172,179900.0,2.0,1500.0,3,3.0,1,13,1,-97.62870025634766,1,2.9,30.22450065612793,14374.8,22,1,78725,1.98,2018-06-15,6,2018
144,29459899,155000.0,2.0,1411.0,3,3.0,1,13,1,-97.58594512939452,1,1.6666666666666667,30.24452972412109,6534.0,12,1,78725,1.98,2018-02-06,2,2018
150,185217434,339900.0,2.0,2192.0,3,8.333333333333334,1,16,1,-97.797607421875,1,1.9,30.49635887145996,9757.0,33,1,78717,2.21,2018-05-25,5,2018
152,63835398,170000.0,2.0,1268.0,3,2.6666666666666665,1,13,1,-97.58031463623048,1,2.2333333333333334,30.25343894958496,10541.0,18,4,78724,1.98,2018-04-20,4,2018
154,29396970,214500.0,2.0,1306.0,3,3.6666666666666665,1,11,2,-97.64766693115234,1,3.233333333333333,30.288440704345703,6490.0,23,3,78724,1.98,2018-05-23,5,2018
155,29438718,275000.0,3.0,2398.0,4,3.0,2,14,1,-97.64958953857422,0,1.0,30.40733528137207,6272.0,36,3,78753,1.98,2018-01-27,1,2018
