,zpid,latestPrice,numOfBathrooms,livingAreaSqFt,numOfBedrooms,avgSchoolRating,numOfStories,MedianStudentsPerTeacher,numOfHighSchools,longitude,numOfPrimarySchools,zipcode,propertyTaxRate,latest_saledate,latest_salemonth,latest_saleyear
0,111373431,305000.0,3.0,2601.0,4,2.6666666666666665,2,14,1,-97.66307830810548,1,78660,1.98,2019-09-02,9,2019
2,2084491383,256125.0,2.0,1478.0,3,3.0,1,14,1,-97.6397705078125,0,78660,1.98,2019-07-31,7,2019
8,60134833,225000.0,2.0,1870.0,3,4.0,2,14,1,-97.657958984375,1,78660,1.98,2019-09-19,9,2019
11,241930967,250000.0,3.0,2281.0,3,3.0,2,14,1,-97.63335418701172,1,78617,1.98,2019-04-12,4,2019
16,70341946,212000.0,2.0,1752.0,4,3.333333333333333,1,14,1,-97.61647033691406,1,78617,1.98,2019-02-27,2,2019
23,83822421,350000.0,5.0,1216.0,8,3.333333333333333,1,14,1,-97.7052001953125,1,78747,1.98,2019-03-29,3,2019
30,241932966,287500.0,2.0,1634.0,3,3.6666666666666665,1,12,1,-97.6981430053711,1,78744,1.98,2019-04-18,4,2019
32,145656987,196000.0,2.0,1399.0,3,3.0,1,13,1,-97.5790557861328,1,78725,1.98,2019-01-10,1,2019
34,70333915,830000.0,5.0,3573.0,4,7.0,2,16,1,-97.85840606689452,1,78726,1.98,2019-09-17,9,2019
35,29462467,219990.0,3.0,2035.0,3,3.0,2,13,1,-97.5912628173828,1,78725,1.98,2019-06-07,6,2019
36,89548387,195000.0,2.0,1304.0,3,3.0,1,13,1,-97.63643646240234,1,78725,1.98,2019-03-28,3,2019
42,185217474,344600.0,3.0,2134.0,3,8.333333333333334,2,16,1,-97.79753112792967,1,78717,2.21,2019-09-05,9,2019
50,80094409,2950000.0,7.0,9591.0,5,7.0,2,16,1,-97.89057159423828,1,78732,1.98,2019-10-17,10,2019
51,64431038,565000.0,3.0,2169.0,3,3.333333333333333,2,14,1,-97.71607208251952,1,78747,1.98,2019-08-01,8,2019
52,89547842,194098.0,2.0,1296.0,3,3.0,1,13,1,-97.63804626464844,1,78725,1.98,2019-03-06,3,2019
53,251030464,255700.0,3.0,2570.0,4,2.6666666666666665,2,13,1,-97.58674621582033,1,78724,1.98,2019-04-05,4,2019
54,29376491,495000.0,3.0,3140.0,5,8.0,2,15,1,-97.8249969482422,1,78726,1.98,2019-06-07,6,2019
61,89550834,225000.0,2.0,1420.0,3,3.0,1,13,1,-97.63726806640624,1,78725,1.98,2019-02-01,2,2019
64,29461422,200000.0,3.0,1592.0,3,3.0,2,13,1,-97.58354949951172,1,78725,1.98,2019-09-24,9,2019
65,116080970,675000.0,5.0,3837.0,5,7.666666666666668,2,14,1,-97.79280853271484,1,78717,2.21,2019-07-25,7,2019
67,29557482,259000.0,2.0,1239.0,3,5.333333333333333,1,12,1,-97.78694915771484,1,78729,2.21,2019-01-19,1,2019
69,29461406,199999.0,2.0,1335.0,3,3.0,1,13,1,-97.58533477783205,1,78725,1.98,2019-08-23,8,2019
71,116080962,625000.0,3.0,3111.0,4,7.666666666666668,1,14,1,-97.79401397705078,1,78717,2.21,2019-07-22,7,2019
74,29351492,399900.0,2.0,1487.0,2,7.0,1,16,1,-97.79354858398438,1,78731,1.98,2019-01-31,1,2019
75,241932900,215000.0,2.0,1370.0,3,3.0,1,13,1,-97.58175659179688,1,78725,1.98,2019-08-16,8,2019
83,29358990,690000.0,3.0,2967.0,4,7.0,2,17,1,-97.7984848022461,1,78750,1.98,2019-01-19,1,2019
84,116080957,584900.0,4.0,3787.0,5,7.666666666666668,2,14,1,-97.7944564819336,1,78717,2.21,2019-03-18,3,2019
86,29375979,599800.0,3.0,2753.0,5,8.666666666666666,1,16,1,-97.79827880859376,0,78750,1.98,2019-09-30,9,2019
90,121658485,374000.0,3.0,2283.0,4,7.0,2,16,1,-97.82636260986328,1,78750,1.98,2019-04-22,4,2019
91,29375978,699900.0,3.0,2997.0,4,8.666666666666666,1,16,1,-97.79793548583984,0,78750,1.98,2019-10-25,10,2019
92,145654939,205000.0,2.0,1225.0,3,3.0,1,13,1,-97.57658386230467,1,78725,1.98,2019-09-20,9,2019
94,29351485,425000.0,2.0,1573.0,3,7.0,1,16,1,-97.79362487792967,1,78731,1.98,2019-07-17,7,2019
102,241932874,218800.0,2.0,1480.0,3,3.0,1,13,1,-97.58241271972656,1,78725,1.98,2019-05-10,5,2019
103,145551433,200000.0,3.0,1321.0,3,3.0,2,13,1,-97.57323455810548,1,78725,1.98,2019-12-05,12,2019
107,29347484,799000.0,7.0,4491.0,5,7.0,2,16,1,-97.83723449707033,1,78730,1.98,2019-06-21,6,2019
111,83814991,259900.0,3.0,2573.0,3,3.6666666666666665,2,11,2,-97.62621307373048,1,78724,1.98,2019-03-13,3,2019
113,116080945,525000.0,3.0,3187.0,4,7.666666666666668,2,14,1,-97.7937240600586,1,78717,2.21,2019-02-20,2,2019
118,70341361,184900.0,2.0,1203.0,3,3.0,1,13,1,-97.58959197998048,1,78725,1.98,2019-08-13,8,2019
121,89550707,219000.0,2.0,1256.0,3,3.0,1,13,1,-97.63741302490234,1,78725,1.98,2019-09-06,9,2019
122,114405230,293300.0,3.0,3047.0,3,2.6666666666666665,2,14,1,-97.66323852539062,1,78660,1.98,2019-02-12,2,2019
123,29459909,229999.0,3.0,1712.0,3,3.0,2,13,1,-97.5844955444336,1,78725,1.98,2019-05-13,5,2019
127,145656393,389900.0,3.0,3319.0,5,3.6666666666666665,2,12,1,-97.71949768066406,1,78744,1.98,2019-07-01,7,2019
132,2082038175,341054.0,3.0,2643.0,4,3.0,2,13,1,-97.63470458984376,1,78725,1.98,2019-12-31,12,2019
133,29358997,428000.0,3.0,2576.0,3,7.0,2,17,1,-97.7973175048828,1,78750,1.98,2019-10-31,10,2019
