,zpid,latestPrice,numOfBathrooms,livingAreaSqFt,numOfBedrooms,avgSchoolRating,numOfStories,MedianStudentsPerTeacher,numOfHighSchools,longitude,numOfPrimarySchools,avgSchoolDistance,latitude,lotSizeSqFt,numOfPhotos,numPriceChanges,zipcode,propertyTaxRate,yearBuilt,latest_saledate,latest_salemonth,latest_saleyear
0,111373431,305000.0,3.0,2601.0,4,2.6666666666666665,2,14,1,-97.66307830810548,1,1.2666666666666668,30.43063163757324,6011.0,39,5,78660,1.98,2012,2019-09-02,9,2019
1,120900430,295000.0,2.0,1768.0,4,2.6666666666666665,1,14,1,-97.66169738769533,1,1.4,30.43267250061035,6185.0,29,1,78660,1.98,2013,2020-10-13,10,2020
2,2084491383,256125.0,2.0,1478.0,3,3.0,1,14,1,-97.6397705078125,0,1.2,30.409748077392567,7840.0,2,1,78660,1.98,2018,2019-07-31,7,2019
3,120901374,240000.0,2.0,1678.0,3,2.6666666666666665,1,14,1,-97.66165924072266,1,1.4,30.432111740112305,6098.0,9,4,78660,1.98,2013,2018-08-08,8,2018
4,60134862,239900.0,3.0,2132.0,3,4.0,2,14,1,-97.6568603515625,1,1.1333333333333335,30.437368392944336,6708.0,27,3,78660,1.98,2002,2018-10-31,10,2018
5,2080105342,309045.0,2.0,1446.0,3,4.0,1,14,1,-97.65618133544922,1,1.0666666666666669,30.437774658203125,5161.0,2,2,78660,1.98,2020,2020-08-05,8,2020
6,241932337,315000.0,3.0,2432.0,4,3.6666666666666665,2,12,1,-97.64339447021484,1,1.2333333333333334,30.414684295654297,12196.8,36,2,78660,1.98,2016,2020-06-11,6,2020
7,60134835,219900.0,3.0,1422.0,3,4.0,2,14,1,-97.65803527832033,1,1.1666666666666667,30.43940353393555,5140.0,21,2,78660,1.98,2002,2018-10-10,10,2018
8,60134833,225000.0,2.0,1870.0,3,4.0,2,14,1,-97.657958984375,1,1.1666666666666667,30.439096450805664,3811.0,16,1,78660,1.98,2002,2019-09-19,9,2019
9,83827468,194800.0,3.0,1422.0,3,3.0,2,14,1,-97.63812255859376,1,1.2,30.160701751708984,5183.0,23,1,78617,1.98,2013,2018-09-11,9,2018
10,241932327,279900.0,2.0,1580.0,3,3.6666666666666665,1,12,1,-97.6432876586914,1,1.2,30.414934158325195,5401.0,32,2,78660,1.98,2016,2020-08-28,8,2020
11,241930967,250000.0,3.0,2281.0,3,3.0,2,14,1,-97.63335418701172,1,1.2,30.159337997436523,4965.0,37,1,78617,1.98,2016,2019-04-12,4,2019
12,69808966,239900.0,2.0,1762.0,4,3.333333333333333,1,14,1,-97.6234359741211,1,0.6333333333333333,30.167768478393555,6011.0,28,9,78617,1.98,2005,2020-09-05,9,2020
13,64520966,200000.0,2.0,1326.0,3,3.0,1,14,1,-97.65058135986328,1,1.8333333333333333,30.15428352355957,6926.0,16,1,78617,1.98,2003,2018-12-15,12,2018
14,83813460,131679.0,3.0,1655.0,3,3.0,2,14,1,-97.6362762451172,1,1.2333333333333334,30.15972137451172,10846.0,54,5,78617,1.98,2010,2020-08-18,8,2020
15,29470450,200000.0,2.0,1228.0,3,3.0,1,14,1,-97.64641571044922,1,1.4666666666666668,30.15768814086914,6621.0,25,1,78617,1.98,2000,2020-06-02,6,2020
16,70341946,212000.0,2.0,1752.0,4,3.333333333333333,1,14,1,-97.61647033691406,1,0.5666666666666667,30.168758392333984,10802.0,26,5,78617,1.98,2009,2019-02-27,2,2019
17,116080992,687850.0,6.0,4564.0,5,7.666666666666668,2,14,1,-97.7947235107422,1,3.266666666666667,30.486408233642567,10672.0,40,13,78717,2.21,2014,2018-08-28,8,2018
18,88013985,409000.0,4.0,3233.0,5,8.333333333333334,2,16,1,-97.79651641845705,1,1.933333333333333,30.49437522888184,9060.0,31,4,78717,2.21,2007,2018-12-03,12,2018
19,70344594,199000.0,2.0,1511.0,3,2.6666666666666665,1,13,1,-97.57695770263672,1,2.4333333333333336,30.25570678710937,7448.0,21,3,78724,1.98,2006,2020-12-22,12,2020
20,185217484,400000.0,2.0,2228.0,3,8.333333333333334,1,16,1,-97.7978744506836,1,1.9,30.49563789367676,7666.0,20,2,78717,2.21,2008,2020-01-10,1,2020
21,121719682,699000.0,4.0,4020.0,4,7.666666666666668,2,14,1,-97.79174041748048,1,3.266666666666667,30.490257263183604,10890.0,36,1,78717,2.21,2015,2020-12-07,12,2020
22,116080981,549900.0,5.0,3494.0,4,7.666666666666668,2,14,1,-97.7948989868164,1,3.2999999999999994,30.4887752532959,8494.0,69,2,78717,2.21,2013,2018-03-13,3,2018
23,83822421,350000.0,5.0,1216.0,8,3.333333333333333,1,14,1,-97.7052001953125,1,5.2,30.08774757385254,107593.2,27,6,78747,1.98,2007,2019-03-29,3,2019
24,29462564,240000.0,3.0,1534.0,3,3.0,1,13,1,-97.58731842041016,1,1.8,30.233154296875,5183.0,10,2,78725,1.98,1999,2020-12-31,12,2020
25,70355992,249900.0,2.0,1738.0,3,3.0,1,13,1,-97.57801818847656,1,1.9666666666666668,30.23806571960449,7405.0,35,1,78725,1.98,2013,2020-12-04,12,2020
26,89659978,400000.0,3.0,2630.0,5,8.333333333333334,2,16,1,-97.79308319091795,1,2.0333333333333337,30.492189407348643,12196.8,21,2,78717,2.21,2010,2020-04-22,4,2020
27,70355990,200000.0,2.0,1652.0,3,3.0,1,13,1,-97.57833099365234,1,1.9666666666666668,30.238237380981445,8145.0,33,1,78725,1.98,2012,2018-01-30,1,2018
28,70333917,875000.0,4.0,3402.0,4,7.0,2,16,1,-97.85929107666016,1,2.066666666666667,30.426456451416016,30056.4,38,2,78726,1.98,2004,2020-11-09,11,2020
29,29471292,164995.0,2.0,2350.0,3,3.333333333333333,1,14,1,-97.71691131591795,1,4.766666666666667,30.10340118408203,102366.0,29,4,78747,1.98,1970,2020-10-27,10,2020
30,241932966,287500.0,2.0,1634.0,3,3.6666666666666665,1,12,1,-97.6981430053711,1,2.9,30.17614555358887,6141.0,40,2,78744,1.98,2016,2019-04-18,4,2019
31,116080975,650000.0,4.0,3047.0,4,7.666666666666668,1,14,1,-97.79379272460938,1,3.3000000000000003,30.488996505737305,8363.0,1,1,78717,2.21,2013,2020-03-25,3,2020
32,145656987,196000.0,2.0,1399.0,3,3.0,1,13,1,-97.5790557861328,1,1.9333333333333336,30.24176788330078,5532.0,29,1,78725,1.98,2015,2019-01-10,1,2019
33,83821490,239999.0,2.0,1264.0,3,3.333333333333333,1,14,1,-97.69979095458984,1,5.366666666666667,30.08502960205078,411206.4,35,5,78747,1.98,1985,2018-08-23,8,2018
34,70333915,830000.0,5.0,3573.0,4,7.0,2,16,1,-97.85840606689452,1,2.0,30.42596435546875,19166.4,37,5,78726,1.98,2005,2019-09-17,9,2019
35,29462467,219990.0,3.0,2035.0,3,3.0,2,13,1,-97.5912628173828,1,1.7666666666666666,30.231584548950195,6229.0,24,1,78725,1.98,2000,2019-06-07,6,2019
36,89548387,195000.0,2.0,1304.0,3,3.0,1,13,1,-97.63643646240234,1,3.266666666666667,30.2150993347168,6751.0,26,1,78725,1.98,2009,2019-03-28,3,2019
37,29366912,4250000.0,7.0,7284.0,7,7.0,2,16,1,-97.90055847167967,1,4.1000000000000005,30.41598701477051,106286.4,40,7,78732,1.98,2005,2018-08-15,8,2018
38,241932964,309999.0,3.0,1907.0,3,3.6666666666666665,2,12,1,-97.69815826416016,1,2.9,30.175445556640625,7100.0,31,1,78744,1.98,2016,2018-03-26,3,2018
39,29376494,427000.0,3.0,2484.0,4,8.0,2,15,1,-97.82464599609376,1,1.2333333333333332,30.44289970397949,10890.0,8,5,78726,1.98,1988,2020-03-04,3,2020
40,69808963,205000.0,3.0,2088.0,4,3.0,1,13,1,-97.59052276611328,1,1.9,30.22610282897949,4399.0,24,2,78725,1.98,2006,2018-01-25,1,2018
41,121656950,300000.0,3.0,2100.0,4,3.6666666666666665,1,12,1,-97.70490264892578,1,4.9,30.11837577819824,43560.0,31,4,78747,1.98,2013,2018-11-30,11,2018
42,185217474,344600.0,3.0,2134.0,3,8.333333333333334,2,16,1,-97.79753112792967,1,2.0,30.494144439697266,6786.0,41,3,78717,2.21,2008,2019-09-05,9,2019
43,29366911,3395000.0,5.0,4747.0,5,7.0,1,16,1,-97.90070343017578,1,4.166666666666667,30.41670608520508,86684.4,56,9,78732,1.98,1992,2020-07-10,7,2020
44,145657963,399900.0,3.0,2629.0,3,3.6666666666666665,1,12,1,-97.72125244140624,1,3.1333333333333333,30.16147994995117,8537.0,40,1,78744,1.98,2015,2020-06-26,6,2020
45,29370494,648000.0,3.0,2567.0,4,9.0,2,16,1,-97.79273223876952,1,1.1666666666666667,30.42639350891113,11325.6,50,6,78750,1.98,1991,2020-11-30,11,2020
46,89548844,186500.0,2.0,1420.0,3,3.0,1,13,1,-97.63728332519533,1,3.3000000000000003,30.213117599487305,7797.0,6,1,78725,1.98,2009,2018-02-01,2,2018
47,125901465,219000.0,2.0,1267.0,3,3.0,1,13,1,-97.58043670654295,1,1.9,30.23823547363281,4617.0,28,1,78725,1.98,2015,2020-04-03,4,2020
48,63228462,179900.0,2.0,1194.0,3,3.0,1,13,1,-97.59007263183594,1,1.8333333333333333,30.22929382324219,5924.0,25,1,78725,1.98,2004,2018-03-22,3,2018
49,96639474,405000.0,2.0,2142.0,3,6.0,1,14,1,-97.78580474853516,1,2.3000000000000003,30.4632568359375,5619.0,28,1,78729,2.21,2011,2020-02-18,2,2020
50,80094409,2950000.0,7.0,9591.0,5,7.0,2,16,1,-97.89057159423828,1,3.533333333333333,30.41860008239746,68389.2,40,4,78732,1.98,2006,2019-10-17,10,2019
51,64431038,565000.0,3.0,2169.0,3,3.333333333333333,2,14,1,-97.71607208251952,1,4.633333333333334,30.11583137512207,1001880.0,25,1,78747,1.98,1993,2019-08-01,8,2019
52,89547842,194098.0,2.0,1296.0,3,3.0,1,13,1,-97.63804626464844,1,3.333333333333333,30.21501922607422,5445.0,9,1,78725,1.98,2014,2019-03-06,3,2019
53,251030464,255700.0,3.0,2570.0,4,2.6666666666666665,2,13,1,-97.58674621582033,1,2.2,30.25937271118164,6098.0,22,2,78724,1.98,2018,2019-04-05,4,2019
54,29376491,495000.0,3.0,3140.0,5,8.0,2,15,1,-97.8249969482422,1,1.2333333333333334,30.442386627197266,9147.0,1,1,78726,1.98,1989,2019-06-07,6,2019
55,241932962,325000.0,3.0,2068.0,4,3.6666666666666665,2,12,1,-97.6977310180664,1,2.9,30.17613220214844,6141.0,67,4,78744,1.98,2016,2020-08-18,8,2020
56,64729016,250000.0,2.0,2736.0,4,3.333333333333333,1,14,1,-97.69129943847656,1,4.833333333333333,30.10301971435547,64468.8,31,1,78719,1.98,1982,2020-08-13,8,2020
57,70355962,198500.0,2.0,1807.0,4,3.0,1,13,1,-97.58032989501952,1,1.8666666666666665,30.23895072937012,5749.0,27,4,78725,1.98,2006,2020-04-13,4,2020
58,29376490,485000.0,3.0,2956.0,5,8.0,1,15,1,-97.82511138916016,1,1.2333333333333334,30.442228317260746,8624.0,60,1,78726,1.98,1990,2020-10-30,10,2020
59,29366907,5495000.0,8.0,8800.0,5,7.0,3,16,1,-97.90081787109376,1,4.166666666666667,30.41809463500977,24829.2,43,5,78732,1.98,1996,2020-10-28,10,2020
60,250825472,440000.0,3.0,2595.0,5,8.333333333333334,2,16,1,-97.79917907714844,1,2.1,30.49202919006348,5536.0,31,1,78717,2.21,2016,2020-05-15,5,2020
61,89550834,225000.0,2.0,1420.0,3,3.0,1,13,1,-97.63726806640624,1,3.3000000000000003,30.21296501159668,9626.0,19,2,78725,1.98,2010,2019-02-01,2,2019
62,64674953,207900.0,2.0,1929.0,3,3.0,1,13,1,-97.5873565673828,1,1.633333333333333,30.24004554748535,5314.0,26,4,78725,1.98,2003,2018-07-04,7,2018
63,29374483,575000.0,2.0,2170.0,4,8.666666666666666,1,16,1,-97.8055191040039,0,1.2,30.433971405029297,14810.4,23,1,78750,1.98,1976,2021-01-08,1,2021
64,29461422,200000.0,3.0,1592.0,3,3.0,2,13,1,-97.58354949951172,1,1.7666666666666666,30.237213134765625,6969.0,30,1,78725,1.98,1996,2019-09-24,9,2019
65,116080970,675000.0,5.0,3837.0,5,7.666666666666668,2,14,1,-97.79280853271484,1,3.266666666666667,30.48861694335937,12632.4,40,2,78717,2.21,2016,2019-07-25,7,2019
66,70333905,975000.0,4.0,3450.0,4,7.0,1,16,1,-97.8576889038086,1,1.9,30.42463111877441,58806.00000000001,36,1,78726,1.98,2011,2018-01-31,1,2018
67,29557482,259000.0,2.0,1239.0,3,5.333333333333333,1,12,1,-97.78694915771484,1,1.7666666666666666,30.45297622680664,16552.8,19,2,78729,2.21,1976,2019-01-19,1,2019
68,241932948,275000.0,2.0,1449.0,3,3.6666666666666665,1,12,1,-97.69738006591795,1,2.9,30.17658805847168,5488.0,40,1,78744,1.98,2016,2020-02-10,2,2020
69,29461406,199999.0,2.0,1335.0,3,3.0,1,13,1,-97.58533477783205,1,1.7333333333333334,30.23699188232422,5227.0,18,4,78725,1.98,1997,2019-08-23,8,2019
70,2081704483,268729.0,2.0,1514.0,3,3.0,1,13,1,-97.63460540771484,1,3.1333333333333333,30.22005844116211,4800.0,1,5,78725,1.98,2020,2020-06-29,6,2020
71,116080962,625000.0,3.0,3111.0,4,7.666666666666668,1,14,1,-97.79401397705078,1,3.266666666666667,30.4880485534668,15681.6,30,1,78717,2.21,2013,2019-07-22,7,2019
72,29376480,435000.0,3.0,3113.0,4,8.0,2,15,1,-97.8240737915039,1,1.2,30.443117141723643,8973.0,65,7,78726,1.98,1989,2020-07-24,7,2020
73,241932946,285000.0,3.0,1973.0,3,3.6666666666666665,2,12,1,-97.696533203125,1,2.9,30.17620658874512,5662.0,1,2,78744,1.98,2016,2018-12-21,12,2018
74,29351492,399900.0,2.0,1487.0,2,7.0,1,16,1,-97.79354858398438,1,3.4,30.352840423583984,3963.0,26,1,78731,1.98,1995,2019-01-31,1,2019
75,241932900,215000.0,2.0,1370.0,3,3.0,1,13,1,-97.58175659179688,1,1.8333333333333333,30.23677062988281,5749.0,27,1,78725,1.98,2016,2019-08-16,8,2019
76,29370900,519500.0,4.0,3055.0,4,7.0,2,16,1,-97.86306762695312,1,2.1,30.42306327819824,7666.0,67,3,78726,1.98,2000,2020-11-04,11,2020
77,110538990,450000.0,3.0,2283.0,4,7.0,2,16,1,-97.826904296875,1,0.6000000000000001,30.39213752746582,6368.0,14,1,78750,1.98,2010,2018-08-16,8,2018
78,29372980,463700.0,3.0,3115.0,4,8.0,2,15,1,-97.8270034790039,1,1.5333333333333332,30.43273162841797,9539.0,37,1,78726,1.98,1995,2018-10-02,10,2018
79,29459947,209900.0,2.0,1419.0,3,3.0,1,13,1,-97.58552551269533,1,1.6666666666666667,30.24313545227051,5558.0,23,1,78725,1.98,1987,2020-03-03,3,2020
80,241932936,375000.0,5.0,2682.0,7,3.6666666666666665,2,12,1,-97.69666290283205,1,2.9,30.17849540710449,6969.0,78,2,78744,1.98,2016,2020-08-31,8,2020
81,89550803,229900.0,3.0,1936.0,4,3.0,2,13,1,-97.63555145263672,1,3.2000000000000006,30.21564483642578,4573.0,32,1,78725,1.98,2014,2020-06-29,6,2020
82,29370898,549900.0,4.0,3794.0,4,7.0,2,16,1,-97.86441040039062,1,2.1333333333333333,30.42333984375,10105.0,38,1,78726,1.98,2001,2018-08-24,8,2018
83,29358990,690000.0,3.0,2967.0,4,7.0,2,17,1,-97.7984848022461,1,2.9333333333333336,30.375999450683604,10367.0,36,3,78750,1.98,1983,2019-01-19,1,2019
84,116080957,584900.0,4.0,3787.0,5,7.666666666666668,2,14,1,-97.7944564819336,1,3.2999999999999994,30.48835182189941,7501.0,43,1,78717,2.21,2014,2019-03-18,3,2019
85,111373282,287500.0,3.0,2314.0,5,2.6666666666666665,1,14,1,-97.66204071044922,1,1.3333333333333333,30.43100929260254,7623.0,47,3,78660,1.98,2011,2018-06-30,6,2018
86,29375979,599800.0,3.0,2753.0,5,8.666666666666666,1,16,1,-97.79827880859376,0,0.8333333333333334,30.44328117370605,11325.6,40,2,78750,1.98,1977,2019-09-30,9,2019
87,241932935,325000.0,3.0,2068.0,4,3.6666666666666665,2,12,1,-97.6968231201172,1,2.9,30.178211212158203,6185.0,22,1,78744,1.98,2016,2018-09-12,9,2018
88,80115957,350000.0,3.0,1791.0,3,8.333333333333334,2,16,1,-97.79090881347656,1,1.6333333333333335,30.500444412231445,5140.0,27,2,78717,2.21,2006,2020-08-26,8,2020
89,29370894,574900.0,4.0,3338.0,4,7.0,2,16,1,-97.86334991455078,1,2.1333333333333333,30.423627853393555,11325.6,1,1,78726,1.98,2001,2018-03-01,3,2018
