,zpid,latestPrice,numOfBathrooms,livingAreaSqFt,numOfBedrooms,avgSchoolRating,numOfStories,MedianStudentsPerTeacher,numOfHighSchools,longitude,numOfPrimarySchools,avgSchoolDistance,latitude,lotSizeSqFt,numOfPhotos,numPriceChanges,zipcode,yearBuilt,propertyTaxRate,latest_saledate,latest_salemonth,latest_saleyear,averagePrice
0,111373431,305000.0,3.0,2601.0,4,2.66666666666667,2,14,1,-97.6630783081055,1,1.26666666666667,30.4306316375732,6011.0,39,5,78660,2012,1.98,2019-09-02,9,2019,285695.416666667
1,2084491383,256125.0,2.0,1478.0,3,3.0,1,14,1,-97.6397705078125,0,1.2,30.4097480773926,7840.0,2,1,78660,2018,1.98,2019-07-31,7,2019,285695.416666667
2,60134833,225000.0,2.0,1870.0,3,4.0,2,14,1,-97.657958984375,1,1.16666666666667,30.4390964508057,3811.0,16,1,78660,2002,1.98,2019-09-19,9,2019,285695.416666667
3,241930967,250000.0,3.0,2281.0,3,3.0,2,14,1,-97.6333541870117,1,1.2,30.1593379974365,4965.0,37,1,78617,2016,1.98,2019-04-12,4,2019,200321.181818182
4,70341946,212000.0,2.0,1752.0,4,3.33333333333333,1,14,1,-97.6164703369141,1,0.566666666666667,30.168758392334,10802.0,26,5,78617,2009,1.98,2019-02-27,2,2019,200321.181818182
5,83822421,350000.0,5.0,1216.0,8,3.33333333333333,1,14,1,-97.7052001953125,1,5.2,30.0877475738525,107593.2,27,6,78747,2007,1.98,2019-03-29,3,2019,293248.128787879
6,241932966,287500.0,2.0,1634.0,3,3.66666666666667,1,12,1,-97.6981430053711,1,2.9,30.1761455535889,6141.0,40,2,78744,2016,1.98,2019-04-18,4,2019,258333.417647059
7,145656987,196000.0,2.0,1399.0,3,3.0,1,13,1,-97.5790557861328,1,1.93333333333333,30.2417678833008,5532.0,29,1,78725,2015,1.98,2019-01-10,1,2019,215552.103448276
8,70333915,830000.0,5.0,3573.0,4,7.0,2,16,1,-97.8584060668945,1,2.0,30.4259643554688,19166.4,37,5,78726,2005,1.98,2019-09-17,9,2019,499315.533333333
9,29462467,219990.0,3.0,2035.0,3,3.0,2,13,1,-97.5912628173828,1,1.76666666666667,30.2315845489502,6229.0,24,1,78725,2000,1.98,2019-06-07,6,2019,215552.103448276
10,89548387,195000.0,2.0,1304.0,3,3.0,1,13,1,-97.6364364624023,1,3.26666666666667,30.2150993347168,6751.0,26,1,78725,2009,1.98,2019-03-28,3,2019,215552.103448276
11,185217474,344600.0,3.0,2134.0,3,8.33333333333333,2,16,1,-97.7975311279297,1,2.0,30.4941444396973,6786.0,41,3,78717,2008,2.21,2019-09-05,9,2019,424404.968944099
12,80094409,2950000.0,7.0,9591.0,5,7.0,2,16,1,-97.8905715942383,1,3.53333333333333,30.4186000823975,68389.2,40,4,78732,2006,1.98,2019-10-17,10,2019,663662.285714286
13,64431038,565000.0,3.0,2169.0,3,3.33333333333333,2,14,1,-97.7160720825195,1,4.63333333333333,30.1158313751221,1001880.0,25,1,78747,1993,1.98,2019-08-01,8,2019,293248.128787879
14,89547842,194098.0,2.0,1296.0,3,3.0,1,13,1,-97.6380462646484,1,3.33333333333333,30.2150192260742,5445.0,9,1,78725,2014,1.98,2019-03-06,3,2019,215552.103448276
15,251030464,255700.0,3.0,2570.0,4,2.66666666666667,2,13,1,-97.5867462158203,1,2.2,30.2593727111816,6098.0,22,2,78724,2018,1.98,2019-04-05,4,2019,271934.333333333
16,29376491,495000.0,3.0,3140.0,5,8.0,2,15,1,-97.8249969482422,1,1.23333333333333,30.4423866271973,9147.0,1,1,78726,1989,1.98,2019-06-07,6,2019,499315.533333333
17,89550834,225000.0,2.0,1420.0,3,3.0,1,13,1,-97.6372680664062,1,3.3,30.2129650115967,9626.0,19,2,78725,2010,1.98,2019-02-01,2,2019,215552.103448276
18,29461422,200000.0,3.0,1592.0,3,3.0,2,13,1,-97.5835494995117,1,1.76666666666667,30.2372131347656,6969.0,30,1,78725,1996,1.98,2019-09-24,9,2019,215552.103448276
19,116080970,675000.0,5.0,3837.0,5,7.66666666666667,2,14,1,-97.7928085327148,1,3.26666666666667,30.4886169433594,12632.4,40,2,78717,2016,2.21,2019-07-25,7,2019,424404.968944099
20,29557482,259000.0,2.0,1239.0,3,5.33333333333333,1,12,1,-97.7869491577148,1,1.76666666666667,30.4529762268066,16552.8,19,2,78729,1976,2.21,2019-01-19,1,2019,334509.379310345
21,29461406,199999.0,2.0,1335.0,3,3.0,1,13,1,-97.585334777832,1,1.73333333333333,30.2369918823242,5227.0,18,4,78725,1997,1.98,2019-08-23,8,2019,215552.103448276
22,116080962,625000.0,3.0,3111.0,4,7.66666666666667,1,14,1,-97.7940139770508,1,3.26666666666667,30.4880485534668,15681.6,30,1,78717,2013,2.21,2019-07-22,7,2019,424404.968944099
23,29351492,399900.0,2.0,1487.0,2,7.0,1,16,1,-97.7935485839844,1,3.4,30.352840423584,3963.0,26,1,78731,1995,1.98,2019-01-31,1,2019,919896.32967033
24,241932900,215000.0,2.0,1370.0,3,3.0,1,13,1,-97.5817565917969,1,1.83333333333333,30.2367706298828,5749.0,27,1,78725,2016,1.98,2019-08-16,8,2019,215552.103448276
25,29358990,690000.0,3.0,2967.0,4,7.0,2,17,1,-97.7984848022461,1,2.93333333333333,30.3759994506836,10367.0,36,3,78750,1983,1.98,2019-01-19,1,2019,590180.831932773
26,116080957,584900.0,4.0,3787.0,5,7.66666666666667,2,14,1,-97.7944564819336,1,3.3,30.4883518218994,7501.0,43,1,78717,2014,2.21,2019-03-18,3,2019,424404.968944099
27,29375979,599800.0,3.0,2753.0,5,8.66666666666667,1,16,1,-97.7982788085938,0,0.833333333333333,30.4432811737061,11325.6,40,2,78750,1977,1.98,2019-09-30,9,2019,590180.831932773
28,121658485,374000.0,3.0,2283.0,4,7.0,2,16,1,-97.8263626098633,1,0.6,30.3930473327637,6368.0,25,3,78750,2013,1.98,2019-04-22,4,2019,590180.831932773
29,29375978,699900.0,3.0,2997.0,4,8.66666666666667,1,16,1,-97.7979354858398,0,0.833333333333333,30.4436836242676,27442.8,39,3,78750,1977,1.98,2019-10-25,10,2019,590180.831932773
30,145654939,205000.0,2.0,1225.0,3,3.0,1,13,1,-97.5765838623047,1,2.03333333333333,30.2413921356201,7274.0,22,2,78725,2017,1.98,2019-09-20,9,2019,215552.103448276
31,29351485,425000.0,2.0,1573.0,3,7.0,1,16,1,-97.7936248779297,1,3.43333333333333,30.3537712097168,3920.0,1,1,78731,1984,1.98,2019-07-17,7,2019,919896.32967033
32,241932874,218800.0,2.0,1480.0,3,3.0,1,13,1,-97.5824127197266,1,1.83333333333333,30.2364826202392,5706.0,44,2,78725,2016,1.98,2019-05-10,5,2019,215552.103448276
33,145551433,200000.0,3.0,1321.0,3,3.0,2,13,1,-97.5732345581055,1,2.23333333333333,30.2393798828125,6194.0,24,1,78725,2015,1.98,2019-12-05,12,2019,215552.103448276
34,29347484,799000.0,7.0,4491.0,5,7.0,2,16,1,-97.8372344970703,1,2.46666666666667,30.3563251495361,142441.2,56,5,78730,1996,1.98,2019-06-21,6,2019,1016151.95
35,83814991,259900.0,3.0,2573.0,3,3.66666666666667,2,11,2,-97.6262130737305,1,2.73333333333333,30.2835445404053,12196.8,33,1,78724,2009,1.98,2019-03-13,3,2019,271934.333333333
36,116080945,525000.0,3.0,3187.0,4,7.66666666666667,2,14,1,-97.7937240600586,1,3.26666666666667,30.4875736236572,7710.0,40,3,78717,2014,2.21,2019-02-20,2,2019,424404.968944099
37,70341361,184900.0,2.0,1203.0,3,3.0,1,13,1,-97.5895919799805,1,1.86666666666667,30.2275581359863,4312.0,24,2,78725,2005,1.98,2019-08-13,8,2019,215552.103448276
38,89550707,219000.0,2.0,1256.0,3,3.0,1,13,1,-97.6374130249023,1,3.3,30.213565826416,10000.0,24,1,78725,2010,1.98,2019-09-06,9,2019,215552.103448276
39,114405230,293300.0,3.0,3047.0,3,2.66666666666667,2,14,1,-97.6632385253906,1,1.3,30.4310626983642,6011.0,33,6,78660,2011,1.98,2019-02-12,2,2019,285695.416666667
40,29459909,229999.0,3.0,1712.0,3,3.0,2,13,1,-97.5844955444336,1,1.7,30.2437896728516,7274.0,25,1,78725,1988,1.98,2019-05-13,5,2019,215552.103448276
41,145656393,389900.0,3.0,3319.0,5,3.66666666666667,2,12,1,-97.7194976806641,1,3.06666666666667,30.1617393493652,9626.0,35,4,78744,2016,1.98,2019-07-01,7,2019,258333.417647059
42,2082038175,341054.0,3.0,2643.0,4,3.0,2,13,1,-97.6347045898438,1,3.13333333333333,30.2201499938965,5000.0,2,2,78725,2019,1.98,2019-12-31,12,2019,215552.103448276
43,29358997,428000.0,3.0,2576.0,3,7.0,2,17,1,-97.7973175048828,1,2.83333333333333,30.3762092590332,8537.0,20,10,78750,1984,1.98,2019-10-31,10,2019,590180.831932773
44,70352470,725000.0,4.0,3486.0,4,8.33333333333333,2,17,1,-97.9130325317383,1,2.5,30.3540763854981,19166.4,40,1,78732,2006,1.98,2019-05-17,5,2019,663662.285714286
45,145551402,198000.0,3.0,1321.0,3,3.0,2,13,1,-97.573844909668,1,2.2,30.2384071350098,6098.0,20,4,78725,2015,1.98,2019-12-03,12,2019,215552.103448276
46,64812856,189000.0,3.0,1892.0,3,3.0,2,13,1,-97.5912017822266,1,1.76666666666667,30.2326469421387,4704.0,36,1,78725,2004,1.98,2019-06-28,6,2019,215552.103448276
47,70352461,759900.0,4.0,4867.0,4,8.33333333333333,2,17,1,-97.9116973876953,1,2.5,30.3562259674072,20908.8,40,7,78732,2009,1.98,2019-08-07,8,2019,663662.285714286
48,29370839,588000.0,4.0,4274.0,4,7.0,2,16,1,-97.8606262207031,1,2.1,30.4262790679932,8276.0,40,3,78726,2001,1.98,2019-05-16,5,2019,499315.533333333
49,29358978,595000.0,2.0,2448.0,4,7.0,2,17,1,-97.7969436645508,1,2.8,30.3750247955322,9796.0,34,2,78750,1983,1.98,2019-06-18,6,2019,590180.831932773
50,89028960,625000.0,4.0,3485.0,5,8.33333333333333,2,17,1,-97.9079437255859,1,2.76666666666667,30.3418960571289,7797.0,75,4,78732,2009,1.98,2019-07-23,7,2019,663662.285714286
51,80093467,235000.0,2.0,1526.0,3,3.66666666666667,1,11,2,-97.6324996948242,1,2.96666666666667,30.2779998779297,9147.0,1,6,78724,2006,1.98,2019-03-04,3,2019,271934.333333333
52,250180857,359900.0,2.0,2124.0,3,3.66666666666667,1,12,1,-97.715461730957,1,3.2,30.1586284637451,6185.0,37,3,78744,2017,1.98,2019-11-22,11,2019,258333.417647059
53,29372965,350000.0,3.0,2965.0,4,8.66666666666667,2,16,1,-97.8140487670898,0,1.63333333333333,30.4311962127686,7927.0,22,8,78750,1992,1.98,2019-02-22,2,2019,590180.831932773
54,185217429,449000.0,4.0,3205.0,5,8.33333333333333,2,16,1,-97.7985153198242,1,1.9,30.4961547851563,7666.0,1,1,78717,2008,2.21,2019-09-16,9,2019,424404.968944099
55,2089686965,425900.0,3.0,2403.0,3,3.66666666666667,1,11,2,-97.6427764892578,1,2.96666666666667,30.2903728485107,5837.0,10,1,78724,2018,1.98,2019-02-21,2,2019,271934.333333333
56,29370836,595000.0,4.0,3939.0,5,7.0,2,16,1,-97.8601531982422,1,2.0,30.4244117736816,13068.0,36,1,78726,2001,1.98,2019-11-08,11,2019,499315.533333333
57,2087922352,365990.0,3.0,2289.0,3,3.66666666666667,1,12,1,-97.7166137695312,1,3.06666666666667,30.1612052917481,6969.0,3,3,78744,2018,1.98,2019-03-15,3,2019,258333.417647059
58,29362475,735000.0,3.0,3119.0,4,7.0,2,17,1,-97.798942565918,1,3.1,30.3861598968506,13939.2,1,3,78750,1988,1.98,2019-03-08,3,2019,590180.831932773
59,89552136,194900.0,2.0,1096.0,3,3.0,1,13,1,-97.6365356445312,1,3.23333333333333,30.2141551971436,4748.0,16,2,78725,2010,1.98,2019-01-25,1,2019,215552.103448276
60,29396959,229900.0,2.0,1320.0,3,3.66666666666667,1,11,2,-97.6462783813477,1,3.16666666666667,30.2888717651367,4617.0,37,1,78724,1980,1.98,2019-04-05,4,2019,271934.333333333
61,89545951,5474997.0,8.0,7740.0,6,8.33333333333333,2,17,1,-97.9126052856445,1,2.76666666666667,30.3710918426514,116305.2,39,4,78732,2012,1.98,2019-12-30,12,2019,663662.285714286
62,29353975,1150000.0,5.0,4878.0,5,7.0,2,16,1,-97.8358306884766,1,2.0,30.3637218475342,45302.4,28,6,78730,1999,1.98,2019-02-01,2,2019,1016151.95
63,29373963,609900.0,3.0,2873.0,4,8.66666666666667,2,16,1,-97.7887268066406,0,1.0,30.4354763031006,27007.2,38,2,78750,1972,1.98,2019-10-25,10,2019,590180.831932773
64,79981880,230000.0,2.0,1652.0,3,3.0,1,13,1,-97.5785903930664,1,1.96666666666667,30.239631652832,7535.0,24,5,78725,2014,1.98,2019-12-02,12,2019,215552.103448276
65,29370826,342000.0,2.0,1540.0,3,7.0,1,16,1,-97.8611068725586,1,2.03333333333333,30.4242553710938,11325.6,25,3,78726,1989,1.98,2019-09-13,9,2019,499315.533333333
66,29360969,715000.0,3.0,2463.0,3,7.0,2,17,1,-97.7901992797852,1,2.5,30.3798408508301,30927.6,31,2,78750,1990,1.98,2019-10-28,10,2019,590180.831932773
67,29375962,550000.0,3.0,2454.0,3,8.66666666666667,1,16,1,-97.7951354980469,0,0.866666666666667,30.440315246582,13503.6,33,1,78750,1995,1.98,2019-12-02,12,2019,590180.831932773
68,145657839,284900.0,2.0,1821.0,3,3.66666666666667,1,12,1,-97.697624206543,1,2.86666666666667,30.1769504547119,5488.0,39,4,78744,2015,1.98,2019-07-29,7,2019,258333.417647059
69,69814957,995000.0,4.0,3371.0,4,7.0,1,16,1,-97.8251953125,1,5.13333333333333,30.3410892486572,27007.2,31,2,78730,2007,1.98,2019-04-08,4,2019,1016151.95
70,29351469,415000.0,2.0,1555.0,3,7.0,1,16,1,-97.7924652099609,1,3.4,30.3549022674561,4181.0,23,2,78731,1983,1.98,2019-07-19,7,2019,919896.32967033
71,70341334,210000.0,3.0,2088.0,4,3.0,2,13,1,-97.5904235839844,1,1.86666666666667,30.2279262542725,4356.0,1,1,78725,2005,1.98,2019-09-24,9,2019,215552.103448276
72,29370820,369000.0,2.0,1861.0,3,7.0,1,16,1,-97.8604965209961,1,1.96666666666667,30.4235591888428,7840.0,21,3,78726,1991,1.98,2019-11-15,11,2019,499315.533333333
73,29392931,329900.0,2.0,1567.0,4,3.66666666666667,1,14,1,-97.6613311767578,1,2.5,30.2826957702637,9757.0,48,3,78725,1971,1.98,2019-08-02,8,2019,215552.103448276
74,29377461,649000.0,4.0,3227.0,5,8.66666666666667,1,16,1,-97.8152465820312,0,1.4,30.4483985900879,50529.6,45,2,78726,1983,1.98,2019-03-12,3,2019,499315.533333333
75,29370806,499800.0,4.0,3304.0,4,7.0,2,16,1,-97.8588562011719,1,1.9,30.4232158660889,11761.2,1,1,78726,2001,1.98,2019-08-30,8,2019,499315.533333333
76,29343454,915000.0,3.0,2665.0,3,9.0,1,15,0,-97.8031845092773,0,2.05,30.3308639526367,14374.8,32,2,78746,1983,1.98,2019-08-07,8,2019,1197513.57142857
77,29360963,465000.0,2.5,2357.0,3,7.0,1,17,1,-97.7920455932617,1,2.56666666666667,30.3797111511231,20908.8,5,1,78750,1985,1.98,2019-07-30,7,2019,590180.831932773
78,145658831,305000.0,3.0,1982.0,3,3.66666666666667,2,12,1,-97.6965942382812,1,2.93333333333333,30.1770668029785,5445.0,20,1,78744,2015,1.98,2019-06-07,6,2019,258333.417647059
79,64918941,1299000.0,5.0,5307.0,4,7.0,3,16,1,-97.8185348510742,1,4.73333333333333,30.3403911590576,54450.0,91,4,78730,2004,1.98,2019-08-19,8,2019,1016151.95
80,246905609,289900.0,3.0,2100.0,4,3.0,1,13,1,-97.6511001586914,1,4.03333333333333,30.209400177002,32670.0,39,7,78617,2017,1.98,2019-06-28,6,2019,200321.181818182
81,29375958,525000.0,4.0,3650.0,4,8.66666666666667,2,16,1,-97.7951965332031,0,0.933333333333333,30.4392070770264,13068.0,21,2,78750,1972,1.98,2019-04-12,4,2019,590180.831932773
82,29344947,714900.0,3.0,2929.0,4,8.0,2,14,0,-97.8603973388672,0,3.86666666666667,30.3375110626221,12196.8,38,1,78733,1990,1.98,2019-06-28,6,2019,1126888.20481928
83,90240441,474997.0,4.0,3348.0,5,8.33333333333333,2,17,1,-97.9145584106445,1,2.76666666666667,30.342981338501,8276.0,1,10,78732,2010,1.98,2019-05-20,5,2019,663662.285714286
84,89553418,335000.0,2.0,1746.0,3,8.33333333333333,1,16,1,-97.7938003540039,1,2.1,30.4914436340332,5662.0,1,1,78717,2009,2.21,2019-08-20,8,2019,424404.968944099
85,29344946,559500.0,3.0,2066.0,3,8.0,2,14,0,-97.8605499267578,0,3.86666666666667,30.3372707366943,12196.8,24,2,78733,1994,1.98,2019-07-09,7,2019,1126888.20481928
86,185217414,379900.0,3.0,2960.0,4,8.33333333333333,2,16,1,-97.7974166870117,1,1.93333333333333,30.4948406219482,8276.0,24,12,78717,2008,2.21,2019-02-28,2,2019,424404.968944099
87,29578456,330000.0,3.0,2084.0,3,6.0,2,14,1,-97.7857818603516,1,2.46666666666667,30.4583511352539,7000.0,29,4,78729,1997,2.21,2019-11-14,11,2019,334509.379310345
88,89550945,1050000.0,5.0,4743.0,5,9.33333333333333,2,14,0,-97.901252746582,0,2.9,30.3158721923828,19166.4,39,1,78733,2009,1.98,2019-12-06,12,2019,1126888.20481928
89,64455725,1200000.0,4.0,2731.0,3,7.0,2,16,1,-97.8768920898438,1,2.63333333333333,30.4115467071533,11761.2,35,6,78732,1995,1.98,2019-04-24,4,2019,663662.285714286
90,124842807,249000.0,2.0,1448.0,3,3.66666666666667,1,12,1,-97.6947174072266,1,2.93333333333333,30.1758365631104,4399.0,22,2,78744,2015,1.98,2019-04-01,4,2019,258333.417647059
91,79981862,131860.0,3.0,1598.0,3,3.0,2,13,1,-97.5798873901367,1,1.9,30.2399082183838,8799.0,25,1,78725,2012,1.98,2019-02-11,2,2019,215552.103448276
92,29346937,599500.0,1.0,986.0,2,8.0,2,14,0,-97.8821640014648,0,4.53333333333333,30.340877532959,41817.6,29,4,78733,1965,1.98,2019-06-07,6,2019,1126888.20481928
93,29360950,450000.0,2.0,2137.0,3,7.0,2,17,1,-97.7897033691406,1,2.46666666666667,30.3792419433594,3397.0,38,2,78750,1994,1.98,2019-03-15,3,2019,590180.831932773
94,145656290,349000.0,3.0,2073.0,3,3.66666666666667,2,12,1,-97.7241287231445,1,3.06666666666667,30.1634635925293,6272.0,38,1,78744,2016,1.98,2019-09-19,9,2019,258333.417647059
