,zpid,latestPrice,numOfBathrooms,livingAreaSqFt,numOfBedrooms,avgSchoolRating,numOfStories,MedianStudentsPerTeacher,numOfHighSchools,longitude,numOfPrimarySchools,avgSchoolDistance,latitude,lotSizeSqFt,numOfPhotos,numPriceChanges,zipcode,propertyTaxRate,latest_saledate,latest_salemonth,latest_saleyear,averagePrice
0,120900430,295000.0,2.0,1768.0,4,2.66666666666667,1,14,1,-97.6616973876953,1,1.4,30.4326725006104,6185.0,29,1,78660,1.98,2020-10-13,10,2020,303125.25
1,2080105342,309045.0,2.0,1446.0,3,4.0,1,14,1,-97.6561813354492,1,1.06666666666667,30.4377746582031,5161.0,2,2,78660,1.98,2020-08-05,8,2020,303125.25
2,241932337,315000.0,3.0,2432.0,4,3.66666666666667,2,12,1,-97.6433944702148,1,1.23333333333333,30.4146842956543,12196.8,36,2,78660,1.98,2020-06-11,6,2020,303125.25
3,241932327,279900.0,2.0,1580.0,3,3.66666666666667,1,12,1,-97.6432876586914,1,1.2,30.4149341583252,5401.0,32,2,78660,1.98,2020-08-28,8,2020,303125.25
4,69808966,239900.0,2.0,1762.0,4,3.33333333333333,1,14,1,-97.6234359741211,1,0.633333333333333,30.1677684783936,6011.0,28,9,78617,1.98,2020-09-05,9,2020,198750.391304348
5,83813460,131679.0,3.0,1655.0,3,3.0,2,14,1,-97.6362762451172,1,1.23333333333333,30.1597213745117,10846.0,54,5,78617,1.98,2020-08-18,8,2020,198750.391304348
6,29470450,200000.0,2.0,1228.0,3,3.0,1,14,1,-97.6464157104492,1,1.46666666666667,30.1576881408691,6621.0,25,1,78617,1.98,2020-06-02,6,2020,198750.391304348
7,70344594,199000.0,2.0,1511.0,3,2.66666666666667,1,13,1,-97.5769577026367,1,2.43333333333333,30.2557067871094,7448.0,21,3,78724,1.98,2020-12-22,12,2020,305087.3
8,185217484,400000.0,2.0,2228.0,3,8.33333333333333,1,16,1,-97.7978744506836,1,1.9,30.4956378936768,7666.0,20,2,78717,2.21,2020-01-10,1,2020,466063.629411765
9,121719682,699000.0,4.0,4020.0,4,7.66666666666667,2,14,1,-97.7917404174805,1,3.26666666666667,30.4902572631836,10890.0,36,1,78717,2.21,2020-12-07,12,2020,466063.629411765
10,29462564,240000.0,3.0,1534.0,3,3.0,1,13,1,-97.5873184204102,1,1.8,30.233154296875,5183.0,10,2,78725,1.98,2020-12-31,12,2020,259179.960784314
11,70355992,249900.0,2.0,1738.0,3,3.0,1,13,1,-97.5780181884766,1,1.96666666666667,30.2380657196045,7405.0,35,1,78725,1.98,2020-12-04,12,2020,259179.960784314
12,89659978,400000.0,3.0,2630.0,5,8.33333333333333,2,16,1,-97.793083190918,1,2.03333333333333,30.4921894073486,12196.8,21,2,78717,2.21,2020-04-22,4,2020,466063.629411765
13,70333917,875000.0,4.0,3402.0,4,7.0,2,16,1,-97.8592910766602,1,2.06666666666667,30.426456451416,30056.4,38,2,78726,1.98,2020-11-09,11,2020,536907.263888889
14,29471292,164995.0,2.0,2350.0,3,3.33333333333333,1,14,1,-97.716911315918,1,4.76666666666667,30.103401184082,102366.0,29,4,78747,1.98,2020-10-27,10,2020,305820.789473684
15,116080975,650000.0,4.0,3047.0,4,7.66666666666667,1,14,1,-97.7937927246094,1,3.3,30.4889965057373,8363.0,1,1,78717,2.21,2020-03-25,3,2020,466063.629411765
16,29376494,427000.0,3.0,2484.0,4,8.0,2,15,1,-97.8246459960938,1,1.23333333333333,30.4428997039795,10890.0,8,5,78726,1.98,2020-03-04,3,2020,536907.263888889
17,29366911,3395000.0,5.0,4747.0,5,7.0,1,16,1,-97.9007034301758,1,4.16666666666667,30.4167060852051,86684.4,56,9,78732,1.98,2020-07-10,7,2020,750005.143518519
18,145657963,399900.0,3.0,2629.0,3,3.66666666666667,1,12,1,-97.7212524414062,1,3.13333333333333,30.1614799499512,8537.0,40,1,78744,1.98,2020-06-26,6,2020,295925.357512953
19,29370494,648000.0,3.0,2567.0,4,9.0,2,16,1,-97.7927322387695,1,1.16666666666667,30.4263935089111,11325.6,50,6,78750,1.98,2020-11-30,11,2020,602914.523809524
20,125901465,219000.0,2.0,1267.0,3,3.0,1,13,1,-97.580436706543,1,1.9,30.2382354736328,4617.0,28,1,78725,1.98,2020-04-03,4,2020,259179.960784314
21,96639474,405000.0,2.0,2142.0,3,6.0,1,14,1,-97.7858047485352,1,2.3,30.4632568359375,5619.0,28,1,78729,2.21,2020-02-18,2,2020,375156.212121212
22,241932962,325000.0,3.0,2068.0,4,3.66666666666667,2,12,1,-97.6977310180664,1,2.9,30.1761322021484,6141.0,67,4,78744,1.98,2020-08-18,8,2020,295925.357512953
23,64729016,250000.0,2.0,2736.0,4,3.33333333333333,1,14,1,-97.6912994384766,1,4.83333333333333,30.1030197143555,64468.8,31,1,78719,1.98,2020-08-13,8,2020,333225.0
24,70355962,198500.0,2.0,1807.0,4,3.0,1,13,1,-97.5803298950195,1,1.86666666666667,30.2389507293701,5749.0,27,4,78725,1.98,2020-04-13,4,2020,259179.960784314
25,29376490,485000.0,3.0,2956.0,5,8.0,1,15,1,-97.8251113891602,1,1.23333333333333,30.4422283172607,8624.0,60,1,78726,1.98,2020-10-30,10,2020,536907.263888889
26,29366907,5495000.0,8.0,8800.0,5,7.0,3,16,1,-97.9008178710938,1,4.16666666666667,30.4180946350098,24829.2,43,5,78732,1.98,2020-10-28,10,2020,750005.143518519
27,250825472,440000.0,3.0,2595.0,5,8.33333333333333,2,16,1,-97.7991790771484,1,2.1,30.4920291900635,5536.0,31,1,78717,2.21,2020-05-15,5,2020,466063.629411765
28,241932948,275000.0,2.0,1449.0,3,3.66666666666667,1,12,1,-97.697380065918,1,2.9,30.1765880584717,5488.0,40,1,78744,1.98,2020-02-10,2,2020,295925.357512953
29,2081704483,268729.0,2.0,1514.0,3,3.0,1,13,1,-97.6346054077148,1,3.13333333333333,30.2200584411621,4800.0,1,5,78725,1.98,2020-06-29,6,2020,259179.960784314
30,29376480,435000.0,3.0,3113.0,4,8.0,2,15,1,-97.8240737915039,1,1.2,30.4431171417236,8973.0,65,7,78726,1.98,2020-07-24,7,2020,536907.263888889
31,29370900,519500.0,4.0,3055.0,4,7.0,2,16,1,-97.8630676269531,1,2.1,30.4230632781982,7666.0,67,3,78726,1.98,2020-11-04,11,2020,536907.263888889
32,29459947,209900.0,2.0,1419.0,3,3.0,1,13,1,-97.5855255126953,1,1.66666666666667,30.2431354522705,5558.0,23,1,78725,1.98,2020-03-03,3,2020,259179.960784314
33,241932936,375000.0,5.0,2682.0,7,3.66666666666667,2,12,1,-97.696662902832,1,2.9,30.1784954071045,6969.0,78,2,78744,1.98,2020-08-31,8,2020,295925.357512953
34,89550803,229900.0,3.0,1936.0,4,3.0,2,13,1,-97.6355514526367,1,3.2,30.2156448364258,4573.0,32,1,78725,1.98,2020-06-29,6,2020,259179.960784314
35,80115957,350000.0,3.0,1791.0,3,8.33333333333333,2,16,1,-97.7909088134766,1,1.63333333333333,30.5004444122314,5140.0,27,2,78717,2.21,2020-08-26,8,2020,466063.629411765
36,29370884,425000.0,3.0,2864.0,5,7.0,1,16,1,-97.8606414794922,1,2.06666666666667,30.4257164001465,9670.0,120,3,78726,1.98,2020-09-01,9,2020,536907.263888889
37,29372475,684000.0,3.0,2656.0,4,9.0,2,16,1,-97.7942504882812,1,1.2,30.4285068511963,10454.0,55,3,78750,1.98,2020-10-05,10,2020,602914.523809524
38,185218453,359965.0,3.0,1975.0,4,8.33333333333333,2,16,1,-97.7860107421875,1,2.0,30.4936752319336,5140.0,40,1,78717,2.21,2020-07-15,7,2020,466063.629411765
39,29360984,795000.0,3.0,2700.0,4,7.0,2,17,1,-97.7895584106445,1,2.5,30.3807163238525,15246.0,37,2,78750,1.98,2020-07-10,7,2020,602914.523809524
40,305430992,454500.0,3.0,2508.0,3,3.66666666666667,1,11,2,-97.6419677734375,1,2.93333333333333,30.29319190979,5749.0,44,1,78724,1.98,2020-10-19,10,2020,305087.3
41,251030246,285000.0,2.0,1791.0,3,3.66666666666667,1,12,1,-97.6442642211914,1,1.2,30.4134311676025,12196.8,26,1,78660,1.98,2020-07-02,7,2020,303125.25
42,69811366,199000.0,2.0,1268.0,3,3.0,1,13,1,-97.5913543701172,1,1.73333333333333,30.2332057952881,4007.0,19,2,78725,1.98,2020-02-11,2,2020,259179.960784314
43,29370873,429000.0,4.0,3033.0,4,7.0,2,16,1,-97.8621444702148,1,2.03333333333333,30.4237022399902,11325.6,32,9,78726,1.98,2020-01-22,1,2020,536907.263888889
44,29375973,629000.0,3.0,2340.0,4,8.66666666666667,2,16,1,-97.7947235107422,0,0.9,30.4385547637939,13503.6,77,3,78750,1.98,2020-10-22,10,2020,602914.523809524
45,29370860,345000.0,4.0,3675.0,5,7.0,2,16,1,-97.862419128418,1,2.13333333333333,30.4244270324707,7492.0,55,6,78726,1.98,2020-11-17,11,2020,536907.263888889
46,249890717,255000.0,2.0,1641.0,3,3.0,1,13,1,-97.6354522705078,1,3.16666666666667,30.2190399169922,5000.0,1,1,78725,1.98,2020-03-30,3,2020,259179.960784314
47,2082177903,282226.0,2.0,1413.0,3,3.66666666666667,1,12,1,-97.6934585571289,1,2.96666666666667,30.1750736236572,5532.0,8,1,78744,1.98,2020-02-27,2,2020,295925.357512953
48,29358983,750000.0,4.0,2922.0,3,7.0,2,17,1,-97.7973251342773,1,2.83333333333333,30.3754653930664,8319.0,110,2,78750,1.98,2020-09-11,9,2020,602914.523809524
49,29374973,475000.0,3.0,2428.0,3,8.0,2,15,1,-97.8276443481445,1,1.46666666666667,30.4350852966309,7405.0,38,1,78726,1.98,2020-11-30,11,2020,536907.263888889
50,58299481,398900.0,2.0,2089.0,3,7.0,1,17,1,-97.7857131958008,1,2.2,30.3783779144287,20037.6,1,4,78750,1.98,2020-12-07,12,2020,602914.523809524
51,29374967,519900.0,3.0,2766.0,4,8.0,2,15,1,-97.8275680541992,1,1.4,30.4361476898193,6054.0,55,1,78726,1.98,2020-09-21,9,2020,536907.263888889
52,120898222,299900.0,3.0,2505.0,4,2.66666666666667,2,14,1,-97.6619644165039,1,1.4,30.4328002929688,6141.0,60,5,78660,1.98,2020-10-08,10,2020,303125.25
